指标名称,中国:人民币存款准备金率:中小型存款类金融机构,中国:人民币存款准备金率:大型存款类金融机构,中国:超额存款准备金率(超储率):金融机构
频率,月,月,季
单位,%,%,%
指标ID,M0043821,M0061518,M0010096
来源,中国人民银行,中国人民银行,中国人民银行
1985-06-30,10.0,10.0,
1985-05-31,10.0,10.0,
1985-04-30,10.0,10.0,
1985-03-31,10.0,10.0,
1985-02-28,10.0,10.0,
1985-01-31,10.0,10.0,

数据来源：Wind











































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































